description,amount,category
university tuition this week,28000,Education
bought vegetables near home,3150,Groceries
bought notebook for class using cash,8550,Education
gas charges,14000,Utilities
bus fare,8850,Transport
bought notebook for class using cash,7350,Education
programming course this month,28300,Education
bus fare using cash,5950,Transport
bought cooking oil payment,750,Groceries
miscellaneous expense,2350,Other
breakfast at restaurant,850,Food
electricity payment using cash,2650,Utilities
credit card bill,5500,Bills
bought fruits using cash,8750,Groceries
university tuition this week,13000,Education
education fee payment,15800,Education
unclassified purchase using card,3450,Other
restaurant dinner today,2850,Food
music subscription in Rawalpindi,2550,Entertainment
subscription bill,13200,Bills
miscellaneous expense today,450,Other
unknown household purchase this week,1550,Other
bought new shoes today,25350,Shopping
training course payment,23950,Education
bought rice in Rawalpindi,3750,Groceries
unknown household purchase this week,2100,Other
random small purchase this month,1450,Other
pharmacy purchase this week,9850,Healthcare
fuel from petrol station,8900,Transport
video game using cash,7400,Entertainment
unclassified purchase using card,8500,Other
music subscription in Rawalpindi,4200,Entertainment
internet bill payment today,9450,Bills
water bill near home,3200,Utilities
bought burger,350,Food
gaming purchase near home,7650,Entertainment
monthly phone bill,12800,Bills
bought milk today,3100,Groceries
lab test fee,8250,Healthcare
bought vegetables near home,4800,Groceries
bought notebook for class using cash,900,Education
bought vegetables near home,7000,Groceries
unclassified purchase using card,6600,Other
gas charges using card,950,Utilities
lunch at restaurant near home,3950,Food
bought flour this month,6000,Groceries
restaurant dinner,4250,Food
ordered pizza this week,4900,Food
mobile package payment using card,1400,Bills
bought burger for family,4050,Food
grocery shopping for family,1200,Groceries
gas bill for family,500,Utilities
fuel from petrol station this week,6950,Transport
internet bill payment today,6700,Bills
water bill near home,2500,Utilities
bought eggs,7050,Groceries
motorcycle fuel payment,8100,Transport
dinner at cafe payment,750,Food
medical checkup,13800,Healthcare
bought cooking oil payment,8300,Groceries
miscellaneous item using cash,7500,Other
bought shirt for family,23450,Shopping
gaming purchase near home,1700,Entertainment
general expense near home,4550,Other
bought sugar expense,4850,Groceries
breakfast at restaurant expense,2350,Food
unknown household purchase,5350,Other
ordered food delivery in Rawalpindi,2600,Food
medical test payment,3650,Healthcare
university tuition this week,5800,Education
online course fee,38950,Education
cinema ticket this week,4200,Entertainment
bought sunglasses this month,12600,Shopping
bought new shoes today,23750,Shopping
movie night this month,1050,Entertainment
video game,9750,Entertainment
bought wallet payment,13250,Shopping
bought sugar expense,8650,Groceries
unclassified purchase,4350,Other
unclassified purchase using card,550,Other
electricity payment,12450,Utilities
grocery shopping for family,4700,Groceries
random small purchase this month,5200,Other
gas bill for family,13450,Utilities
cinema ticket this week,3200,Entertainment
bought milk today,7950,Groceries
paid electricity bill today,14300,Utilities
paid wifi bill using cash,7350,Bills
concert ticket for family,2200,Entertainment
bought wallet payment,9000,Shopping
university tuition this week,41800,Education
small miscellaneous payment for family,3000,Other
